"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 14:16:13 EST 2023","Wed Dec 13 14:16:18 EST 2023","4561","","Verification of Register Page","","User gets error message when entered password with only numbers","","User gets error message when entered password with only numbers",""
"passed","Wed Dec 13 14:16:09 EST 2023","Wed Dec 13 14:16:13 EST 2023","4115","","Verification of Register Page","","User gets error message when entered password with characters less than 8","","User gets error message when entered password with characters less than 8",""
"passed","Wed Dec 13 14:18:24 EST 2023","Wed Dec 13 14:18:32 EST 2023","8024","","Graph Link Verification","","User is successfully navigated to Graph Page and checks all the links on the page","","User is successfully navigated to Graph Page and checks all the links on the page",""
"passed","Wed Dec 13 14:15:31 EST 2023","Wed Dec 13 14:15:36 EST 2023","4965","","HOME","","Verify User not logged in message when user clicks on any data structure entry","","Verify User not logged in message when user clicks on any data structure entry",""
"passed","Wed Dec 13 14:16:05 EST 2023","Wed Dec 13 14:16:09 EST 2023","4076","","Verification of Register Page","","User gets error message when entered different passwords","","User gets error message when entered different passwords",""
"passed","Wed Dec 13 14:15:27 EST 2023","Wed Dec 13 14:15:31 EST 2023","4037","","HOME","","Data Structures DropDown Verification","","Data Structures DropDown Verification",""
"passed","Wed Dec 13 14:16:36 EST 2023","Wed Dec 13 14:16:41 EST 2023","5054","","SignIn page Verification","","User verifies invalid and valid combination of username and password and checks for expected message","","User verifies invalid and valid combination of username and password and checks for expected message",""
"passed","Wed Dec 13 14:15:20 EST 2023","Wed Dec 13 14:15:27 EST 2023","6606","","DS-ALGO","","DS Algo Portal","","DS Algo Portal",""
"passed","Wed Dec 13 14:16:32 EST 2023","Wed Dec 13 14:16:36 EST 2023","3700","","SignIn page Verification","","User gets error message when enters only password and clicks on SignIn button","","User gets error message when enters only password and clicks on SignIn button",""
"passed","Wed Dec 13 14:15:45 EST 2023","Wed Dec 13 14:15:50 EST 2023","4390","","HOME","","Verify if user is redirected to register page	if clicked on ""Register""","","Verify if user is redirected to register page	if clicked on ""Register""",""
"passed","Wed Dec 13 14:18:00 EST 2023","Wed Dec 13 14:18:24 EST 2023","24083","","Tree Link Verification","","User is successfully navigated to Tree Page and checks all the links on the page","","User is successfully navigated to Tree Page and checks all the links on the page",""
"passed","Wed Dec 13 14:16:41 EST 2023","Wed Dec 13 14:16:45 EST 2023","4186","","SignIn page Verification","","User verifies invalid and valid combination of username and password and checks for expected message","","User verifies invalid and valid combination of username and password and checks for expected message",""
"passed","Wed Dec 13 14:15:53 EST 2023","Wed Dec 13 14:15:57 EST 2023","3819","","Verification of Register Page","","User gets error message when password fields are empty","","User gets error message when password fields are empty",""
"passed","Wed Dec 13 14:16:45 EST 2023","Wed Dec 13 14:16:50 EST 2023","4312","","SignIn page Verification","","User verifies invalid and valid combination of username and password and checks for expected message","","User verifies invalid and valid combination of username and password and checks for expected message",""
"passed","Wed Dec 13 14:17:50 EST 2023","Wed Dec 13 14:18:00 EST 2023","10126","","Queue Link Verification","","User is successfully navigated to Queue Page and checks all the links on the page","","User is successfully navigated to Queue Page and checks all the links on the page",""
"passed","Wed Dec 13 14:17:40 EST 2023","Wed Dec 13 14:17:50 EST 2023","9153","","Stack Link Verification","","User is successfully navigated to Stack Page and checks all the links on the page","","User is successfully navigated to Stack Page and checks all the links on the page",""
"passed","Wed Dec 13 14:15:57 EST 2023","Wed Dec 13 14:16:01 EST 2023","3839","","Verification of Register Page","","User gets error message when confirm password field is empty","","User gets error message when confirm password field is empty",""
"failed","Wed Dec 13 14:16:18 EST 2023","Wed Dec 13 14:16:23 EST 2023","5304","","Verification of Register Page","","User gets redirected to HomePage successfully with valid login and passwords","","User gets redirected to HomePage successfully with valid login and passwords",""
"passed","Wed Dec 13 14:16:54 EST 2023","Wed Dec 13 14:17:00 EST 2023","6421","","Data Structures Link Verification","","User is successfully navigated to DataStructures Page and checks all the links on the page","","User is successfully navigated to DataStructures Page and checks all the links on the page",""
"passed","Wed Dec 13 14:17:00 EST 2023","Wed Dec 13 14:17:26 EST 2023","25343","","Array Link Verification","","User is successfully navigated to Array Page and checks all the links on the page","","User is successfully navigated to Array Page and checks all the links on the page",""
"passed","Wed Dec 13 14:15:41 EST 2023","Wed Dec 13 14:15:45 EST 2023","4376","","HOME","","Verify if user is redirected to sign in page	if clicked on ""Sign In""","","Verify if user is redirected to sign in page	if clicked on ""Sign In""",""
"passed","Wed Dec 13 14:15:36 EST 2023","Wed Dec 13 14:15:41 EST 2023","4518","","HOME","","Verify User not logged in message when user selects any data structure from the dropdown with signIn","","Verify User not logged in message when user selects any data structure from the dropdown with signIn",""
"passed","Wed Dec 13 14:16:28 EST 2023","Wed Dec 13 14:16:32 EST 2023","4321","","SignIn page Verification","","User gets error message when enters only username and clicks on SignIn button","","User gets error message when enters only username and clicks on SignIn button",""
"passed","Wed Dec 13 14:16:50 EST 2023","Wed Dec 13 14:16:54 EST 2023","4244","","SignIn page Verification","","User verifies invalid and valid combination of username and password and checks for expected message","","User verifies invalid and valid combination of username and password and checks for expected message",""
"passed","Wed Dec 13 14:16:23 EST 2023","Wed Dec 13 14:16:28 EST 2023","4501","","SignIn page Verification","","User gets error message when all fields are empty and clicks on SignIn button","","User gets error message when all fields are empty and clicks on SignIn button",""
"passed","Wed Dec 13 14:15:50 EST 2023","Wed Dec 13 14:15:53 EST 2023","3736","","Verification of Register Page","","User gets error message when all fields are empty","","User gets error message when all fields are empty",""
"passed","Wed Dec 13 14:16:01 EST 2023","Wed Dec 13 14:16:05 EST 2023","4044","","Verification of Register Page","","User gets error message when invalid characters are entered in username","","User gets error message when invalid characters are entered in username",""
"passed","Wed Dec 13 14:17:26 EST 2023","Wed Dec 13 14:17:40 EST 2023","14677","","LinkedList Link Verification","","User is successfully navigated to LinkedList Page and checks all the links on the page","","User is successfully navigated to LinkedList Page and checks all the links on the page",""
